League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Uruguay Segunda División,2023-04-02,18:30:00,5,Cerrito,Miramar Misiones,2.92,3.1,2.25,0.0,0.0,0.0,0.0,2.29,1.55,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-04-02,18:45:00,8,Ferro Carril Oeste,Deportivo Maipú,2.09,2.9,3.17,1.11,6.5,1.54,2.35,2.6,1.44,5.5,1.12,12.5,1.01,2.1,1.67
Argentina Primera División,2023-04-02,19:00:00,9,Colón,Atlético Tucumán,2.35,3.02,3.0,1.09,8.0,1.42,2.65,2.3,1.53,4.2,1.19,7.75,1.06,2.0,1.72
Mexico Liga MX,2023-04-02,20:00:00,13,Atlético San Luis,Mazatlán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peru Primera División,2023-04-02,20:00:00,10,Deportivo Binacional,UTC Cajamarca,1.8,3.35,3.75,1.06,10.25,1.35,2.94,1.92,1.9,3.65,1.24,6.7,1.07,2.0,1.72
Chile Primera B,2023-04-02,20:00:00,17,Cobreloa,Antofagasta,2.22,3.16,2.87,1.04,8.5,1.33,3.0,2.1,1.65,3.74,1.22,7.5,1.06,1.91,1.85
Colombia Categoria Primera A,2023-04-02,20:10:00,11,Unión Magdalena,Rionegro Águilas,3.05,2.9,2.2,1.09,7.0,1.5,2.55,2.47,1.48,4.5,1.18,13.0,1.04,2.0,1.68
Venezuela Primera División,2023-04-02,20:30:00,8,Zamora,Caracas,2.44,2.87,2.62,1.07,9.2,1.34,2.99,2.08,1.68,3.58,1.25,6.7,1.07,1.82,1.9
Colombia Categoria Primera B,2023-04-02,20:40:00,10,Llaneros,Universitario Popayán,1.57,3.45,5.5,1.07,8.65,1.4,2.74,2.22,1.59,4.0,1.21,7.4,1.06,2.25,1.58
Paraguay Division Profesional,2023-04-02,21:00:00,10,General Caballero JLM,Sportivo Ameliano,2.37,3.15,2.63,0.0,0.0,0.0,0.0,1.97,1.82,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador Primera Categoría Serie A,2023-04-02,21:00:00,4,Orense SC,Guayaquil City FC,1.59,3.22,4.57,1.04,7.8,1.35,2.84,2.1,1.65,3.75,1.23,7.4,1.07,1.94,1.82
Paraguay Division Profesional,2023-04-02,21:00:00,10,General Caballero JLM,Sportivo Ameliano,2.37,3.15,2.63,0.0,0.0,0.0,0.0,1.97,1.82,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador Primera Categoría Serie A,2023-04-02,21:00:00,4,Orense SC,Guayaquil City FC,1.59,3.22,4.57,1.04,7.8,1.35,2.84,2.1,1.65,3.75,1.23,7.4,1.07,1.94,1.82
Argentina Primera División,2023-04-02,21:30:00,9,Banfield,Platense,0.0,3.1,4.02,1.09,7.5,1.48,2.5,2.45,1.5,4.5,1.16,8.25,1.04,2.1,1.65
Mexico Liga MX,2023-04-02,22:05:00,13,Querétaro,Pumas UNAM,2.76,3.28,2.36,1.01,11.0,1.25,3.7,1.78,1.95,3.1,1.32,5.5,1.13,1.67,2.1
Colombia Categoria Primera A,2023-04-02,22:20:00,11,Atlético Huila,Deportivo Cali,2.55,3.05,2.5,1.04,7.6,1.38,2.8,2.19,1.6,3.8,1.22,7.6,1.04,1.89,1.85
