Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5240136,Colombia Categoria Primera A,2023,2023-02-26 18:10:00,6,Once Caldas,Millonarios,1,0,2.87,3.0,2.24,1.08,6.5,1.38,2.8,2.07,1.65,3.8,1.22,7.5,1.06,1.95,1.75
5240133,Colombia Categoria Primera A,2023,2023-02-26 20:20:00,6,Deportes Tolima,Deportivo Cali,1,2,1.76,3.25,4.05,1.08,6.5,1.42,2.62,2.2,1.57,4.0,1.2,8.0,1.05,2.14,1.67
5240138,Colombia Categoria Primera A,2023,2023-02-26 22:30:00,6,Alianza Petrolera,Independiente Medellín,0,1,2.64,3.2,2.33,1.06,8.0,1.33,3.25,2.0,1.8,3.4,1.3,6.5,1.1,1.8,1.91
5240137,Colombia Categoria Primera A,2023,2023-02-27 19:00:00,6,Atlético Nacional,Atlético Huila,3,1,1.4,4.25,7.38,1.05,9.0,1.28,3.5,1.95,1.76,3.3,1.3,5.5,1.12,2.2,1.62
5240134,Colombia Categoria Primera A,2023,2023-02-27 20:00:00,6,Boyacá Chicó,Deportivo Pasto,1,1,1.96,2.95,3.22,1.06,6.8,1.51,2.4,2.43,1.55,4.5,1.16,8.8,1.02,2.13,1.69
5240142,Colombia Categoria Primera A,2023,2023-03-01 20:00:00,1,Deportivo Cali,Deportivo Pereira,0,1,2.74,2.93,2.47,1.08,7.0,1.42,2.7,2.22,1.62,4.5,1.2,7.5,1.07,1.9,1.77
5240148,Colombia Categoria Primera A,2023,2023-03-03 22:10:00,7,Atlético Bucaramanga,Once Caldas,0,1,2.35,2.9,2.87,1.1,6.5,1.44,2.62,2.2,1.57,4.33,1.2,8.0,1.06,1.91,1.8
5240145,Colombia Categoria Primera A,2023,2023-03-04 16:00:00,7,La Equidad,Alianza Petrolera,1,1,1.87,3.1,4.1,1.05,7.2,1.4,2.68,2.2,1.53,4.15,1.18,8.1,1.03,2.04,1.73
5240151,Colombia Categoria Primera A,2023,2023-03-04 18:10:00,7,Envigado,Santa Fe,3,2,2.8,2.9,2.5,1.08,6.5,1.4,2.7,2.2,1.57,3.8,1.22,7.5,1.06,2.03,1.79
5240146,Colombia Categoria Primera A,2023,2023-03-04 20:20:00,7,Unión Magdalena,Jaguares de Córdoba,1,1,2.05,3.0,3.5,1.08,7.0,1.5,2.6,2.2,1.53,4.33,1.2,8.0,1.06,1.95,1.8
5240143,Colombia Categoria Primera A,2023,2023-03-04 22:30:00,7,Independiente Medellín,Rionegro Águilas,3,0,2.4,3.0,2.85,1.05,7.0,1.42,2.61,2.25,1.53,4.5,1.18,8.4,1.03,2.0,1.76
5240150,Colombia Categoria Primera A,2023,2023-03-05 17:30:00,7,Millonarios,Deportivo Cali,2,0,1.66,3.65,5.0,1.05,8.0,1.33,3.0,2.0,1.79,3.4,1.29,6.0,1.09,1.96,1.79
5240152,Colombia Categoria Primera A,2023,2023-03-05 19:40:00,7,Deportivo Pasto,Atlético Nacional,0,1,2.65,3.2,2.55,1.08,6.5,1.4,2.7,2.24,1.6,3.8,1.22,7.5,1.06,1.91,1.8
5240147,Colombia Categoria Primera A,2023,2023-03-05 21:50:00,7,Deportivo Pereira,Deportes Tolima,1,1,2.0,3.2,3.6,1.1,6.5,1.42,2.75,2.17,1.59,4.5,1.2,8.0,1.06,2.0,1.73
5240144,Colombia Categoria Primera A,2023,2023-03-06 22:00:00,7,Atlético Huila,Boyacá Chicó,3,2,2.85,2.92,2.34,1.07,6.45,1.5,2.45,2.41,1.48,4.75,1.16,9.4,1.01,2.1,1.67
5240095,Colombia Categoria Primera A,2023,2023-03-09 22:00:00,2,Alianza Petrolera,Deportivo Pasto,3,1,2.45,3.0,2.8,1.11,6.0,1.53,2.3,2.25,1.6,5.0,1.14,11.0,1.04,2.2,1.63
5240153,Colombia Categoria Primera A,2023,2023-03-10 21:40:00,8,Jaguares de Córdoba,Atlético Huila,1,2,1.57,3.79,5.97,1.07,7.5,1.33,3.2,1.98,1.78,3.6,1.25,6.5,1.1,2.0,1.7
5240160,Colombia Categoria Primera A,2023,2023-03-11 18:00:00,8,Deportivo Cali,Atlético Bucaramanga,1,1,1.93,2.82,3.46,1.1,6.5,1.44,2.62,2.43,1.55,4.33,1.2,8.0,1.06,2.05,1.66
5240158,Colombia Categoria Primera A,2023,2023-03-11 20:10:00,8,Atlético Nacional,Millonarios,0,0,2.09,3.16,3.48,1.08,7.0,1.4,2.75,2.28,1.63,4.0,1.22,8.0,1.06,1.99,1.82
5240155,Colombia Categoria Primera A,2023,2023-03-11 22:20:00,8,Boyacá Chicó,Independiente Medellín,2,0,1.91,3.0,3.29,1.07,7.5,1.5,2.55,2.4,1.57,4.0,1.21,8.25,1.06,1.98,1.73
